transaction_id,items
1,"milk,bread,butter,eggs"
2,"apple,banana,orange"
3,"milk,cheese,yogurt"
4,"bread,butter,jam"
5,"chicken,beef,pork"
6,"rice,pasta,noodles"
7,"milk,bread,eggs"
8,"Milk,Bread,Cheese"
9,"apple,apple,banana"
10,"coffee,tea,juice"
11,"milk"
12,""
13,"bread,butter,milk,eggs"
14,"MILK,BREAD,BUTTER"
15,"tomato,potato,onion"
16,"apple,orange,grape"
17,"milk,bread,butter"
18,"chicken,rice,vegetables"
19,"Bread ,Milk,Eggs"
20,"coffee,tea"
21,"milk,milk,bread"
22,"cheese,yogurt,milk"
23,"apple,banana"
24,"bread,jam,butter,milk"
25,"Rice,Pasta,Noodles"
26,"beef,pork,chicken"
27,""
28,"milk,bread,cheese,eggs"
29,"coffee"
30,"juice,soda,water"
31,"Milk,Eggs,Bread,Butter"
32,"apple,apple,orange"
33,"chicken,vegetables,rice"
34,"milk,bread"
35,"CHEESE,YOGURT,MILK"
36,"bread,butter,jam,honey"
37,"tea,coffee,juice"
38,"milk,cheese"
39,"tomato ,potato,onion"
40,"apple,banana,grape,orange"
41,""
42,"milk,bread,butter,eggs,cheese"
43,"Bread,Butter,Jam"
44,"chicken,beef"
45,"rice,noodles,pasta"
46,"milk,milk,milk,bread"
47,"apple,orange"
48,"Coffee,Tea,Juice"
49,"milk,bread,eggs,butter"
50,"cheese,yogurt"
51,"banana"
52,"bread,butter,milk"
53,"chicken,rice"
54,"APPLE,BANANA,ORANGE"
55,"milk,cheese,yogurt,butter"
56,"bread,jam"
57,"tea,juice"
58,"milk,bread,eggs"
59,"Tomato,Potato,Onion,Garlic"
60,"chicken,vegetables"
61,"milk,item_999,bread"
62,"apple,banana,banana,orange"
63,"rice,pasta"
64,"milk,bread,butter,eggs"
65,"cheese"
66,"Coffee,coffee,TEA"
67,"bread,butter,jam,milk,eggs"
68,"chicken,beef,pork,rice"
69,"milk,bread"
70,"apple,orange,grape"
71,""
72,"Milk,Bread,Butter,Eggs,Cheese"
73,"yogurt,cheese,milk"
74,"tea,juice,soda"
75,"bread ,butter,milk"
76,"chicken,rice,vegetables,sauce"
77,"apple,item_888"
78,"milk,bread,eggs,butter,cheese"
79,"BREAD,BUTTER,JAM"
80,"coffee,tea"
81,"milk,milk,cheese"
82,"rice,noodles"
83,"apple,banana,orange,grape"
84,"milk,bread,butter"
85,"Chicken,Rice,Vegetables"
86,""
87,"milk,bread,eggs,butter,jam"
88,"cheese,yogurt,milk,butter"
89,"tea"
90,"apple,orange"
91,"bread,butter,milk,eggs,cheese,jam"
92,"Coffee ,Tea,Juice"
93,"chicken,beef,rice"
94,"milk,bread,bread,eggs"
95,"MILK,CHEESE,YOGURT"
96,"apple,banana"
97,"rice,pasta,noodles,sauce"
98,"milk,bread,butter,eggs"
99,"tomato,potato,onion,garlic,pepper"
100,"chicken,vegetables,rice,sauce"
